what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326296230120
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1326296250332
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296251785
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1326296253594
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296253986
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1326296254002
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326296255345
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326296257063
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326296260033
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1326296262350
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296266422
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296277246
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326296294681
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1326296295940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296303417
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296322255
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1326296326822
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1326296327242
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326296332201
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296337648
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296338648
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296340629
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1326296343675
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1326296343703
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1326296343707
started,bundle,org.eclipse.pde.core,3.6.0.v20100601,"org.eclipse.pde.core",1326296343920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296344373
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1326296344386
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1326296344386
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326296363846
activated,view,org.python.pydev,1.6.3.2010100513,"org.python.pydev.navigator.view",1326296371071
opened,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326296393175
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326296393276
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296395974
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1326296396016
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296402797
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326296403947
closed,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326296403948
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.close",1326296403955
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1326296408450
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1326296409519
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296413524
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1326296413559
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1326296415517
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326296416909
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1326296417045
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1326296418313
activated,editor,org.python.pydev,1.6.3.2010100513,"org.python.pydev.editor.PythonEditor",1326296419167
